Tweet,Sentiment,Subcategory,Category
"@NUFC one of my mates from Australia is at the game today, any chance of a half time mention for Peter Lowrey, from Gold Coast Australia in St Jamesê park today",Neutral,Exhibition entertainment,Attraction
"VIDEO Firework at Golden Palm Tree, Sepang Gold Coast: http://youtu.be/zFiZveKoqb4 ",Positive,Live entertainment,Attraction
"With us you pay much less for car hire, leaving you more money to spend on food, gifts, and other adventures in the beautiful Gold Coast.",Positive,Transportation Services,Transportation
At Gold Coast airport waiting for hubby to arrive,,Transportation Infrastructure,Transportation
"If you are a magic lover on the Gold Coast, then don't miss out on seeing Circus of Illusion now in Southport. Tickets from $29... ",Positive,Live entertainment,Attraction
"We're looking to hire a car when we're in Gold Coast, should we book it now or just hire one when we arrive?",Neutral,Transportation Services,Transportation
Cultural diversity being celebrated @hotagc for #harmonyday on the #goldcoast. Mercedes from Fiji & Rose whose parents are from the Phillipines are embracing their culture in traditional dress & preparing to share their stories #ourhumanrainbow @abcgoldcoast,,Culture & Tradition,Attraction
This Church Lets The Homeless Sleep Inside. They Also Offer Blankets And Massages ,,Culture & Tradition,Attraction
Oh yea weêre at von Bibra ferry road.... we can totally sell you a car if you want too idk? @edsheeran,,Transportation Infrastructure,Transportation
Thinking of Finding Nemo on your gap year? See what Ellis has to say about snorkelling off the Gold Coast : http://shar.es/PFFIe ã,Neutral,Adventure tours and activities,Attraction
If a church or anyone else wants to run a private school then they should pay for it. The government should pay for government schools. If people donÍt wan their children to get the education provided for them by the govt they can pay to go elsewhere.,,Culture & Tradition,Attraction
"My Trip to the Gold Coast Railroad Museum@Steemit#Railroad #Australiahttp://buff.ly/2nZ5Lhe ",Neutral,Exhibition entertainment,Attraction
First morning of the Leading Edge Electronics conference and Trade show. now that's hard to wakeƒ,,Exhibition entertainment,Attraction
Daimler majestic major 1967 classic stretch 6 passengers + chauffeur #ourgoldcoast #goldcoast‹ https://www.instagram.com/p/BYAxA84DCzl/_,Neutral,Transportation Services,Transportation
"Car Hire Gold Coast, Book No.1 Gold Coast Airport Car Rental - https://goo.gl/iHabQX  #goldcost #Airport",Neutral,Transportation Services,Transportation
Does anyone else think the Sea FM cash call ad on the radio sounds like the theme tune to the TV show Goosebumps??,,Exhibition entertainment,Attraction
I seen a great accident yesterday I stop completely because the road was a sheet of Ice n it was a white out! I was thinking to myself where is this man going this fast he look like he was going to end up in the pond on Johnnyês Pond Road he crashed into the trees,,Transportation Infrastructure,Transportation
"Life is a combination of magic... and pasta Italian cuisine night is the best! Spag bol, you will always be one of my favorites and greatest weaknesses!! ",,Culture & Tradition,Attraction
"siap kmas, (@ Sleeping Inn Backpackers in Surfers Paradise, QLD) ",,Second class accomadation,Accommodation
"Where would you go right now??#food #cafe #restaurant #hungry #goldcoast #cuisine",Positive,Culture & Tradition,Attraction
"Two years ago yesterday, surfing on surfers paradise, Gold Coast. Two years today, out snorkelling at the great barriers reef ______",Positive,Adventure tours and activities,Attraction
Kinda looks like a shitty movie TBH. Is it worth driving from the countryside to a theatre?,,Live entertainment,Attraction
Bartercard trade show (@ Gold Coast Parklands),,Exhibition entertainment,Attraction
7 surprising art galleries on the Gold Coast #Australia http://ow.ly/kPa830beZuk ,Positive,Exhibition entertainment,Attraction
One month living in Aus and I've finally landed a bottom bunk. #hostels ,,Second class accomadation,Accommodation
Massive brawl outside my hostel. Nice one Gold Coast. I don't think I'll be able to sleep now.,Positive,Second class accomadation,Accommodation
"Springbrook National Park, Gold Coast Hinterland, QLD, Australia ",Neutral,Exhibition entertainment,Attraction
PLEASE COME TO AUSTRALIA GOLD COAST QUEENSLAND IS BEAUTIFUL I WOULD LOVE TO BE YOUR PERSONAL TOUR GUIDE ____,Positive,Tourism agent & operator,Tourism broker
"Don't miss ""THE 25TH ANNUAL PUTNAM COUNTY SPELLING BEE"" at Javeenbah Theatre",,Live entertainment,Attraction
Beautiful hostel! #surfersparadise #GoldCoast @ Surfers Paradise Backpackers Resort,,First class accommodation,Accommodation
"All the cheap rooms at the hotel are sold out, the only options left at this point are the more expensive rooms that aren't covered by our discount.",,First class accommodation,Accommodation
How in the name of fuck is that a towel?! @ Backpackers In Paradise ,,Second class accomadation,Accommodation
Loading ..... BLACK Friday ______0114678621 @ Cedar Square Shopping Centre https://www.instagram.com/p/Bbzs3ojAj9y/ ,Negative,Shopping,Attraction
"Looking for car or moped scooter hire during your trip to the Gold Coast? All Age Car Rentals has you, regardless... http://fb.me/1qit8tAGJ ",Neutral,Transportation Services,Transportation
We invite you to experience wood-fired cuisine at its best in the fiery heart of InterContinental Sanctuary Cove...,,Culture & Tradition,Attraction
"#GOLDCOAST Fire Services (Weather related) Incident Knoll Rd ,TAMBORINE MOUNTAIN",Neutral,Scenic,Attraction
Couldnêt get a park outside @jackthegeezer99 this morning due to stupid #grandprix road closures so didnêt have coffee for my drive to work. Next level road rage! #fuckthegrandprix,,Transportation Infrastructure,Transportation
"#GoldCoast students working hard in the Southport Sharks Health + Fitness gym today, learning how to tailor strength & conditioning programs.  ____ ",Negative,Facility,Service and Ancillary
"#BankingRoyalCommision #bankingRC #royalcommission #BanksRC It was revealed yesterday that Australiaês biggest bank (CBA) repeatedly tried to mislead the corporate watchdog over the extent of its problems, selling junk insurance to students, pensioners and the unemployed.",,Transportation Services,Transportation
When you get to finish your days work running in your favourite mountain on the Gold Coastã https://www.instagram.com/p/Baa7-h5AfMB/ ,Positive,Scenic,Attraction
Movie by the pool. Because I can @ Sleeping Inn Surfers Backpackers ,,Second class accomadation,Accommodation
We're reminiscing on last week's incredible global concert series for #refugees. These pics are from the secret Gold Coast gig! #giveahome,Positive,Live entertainment,Attraction
Costco Gold Coast? I wonder if this is the next one? Read about it here.... https://buff.ly/2yp5uLv  #costco #shopping #goldcoast ,Neutral,Shopping,Attraction
Thatês an awesome photo of you Peter __ your concert on the Gold Coast Australia was fantastic but I wished we saw more of you,Positive,Live entertainment,Attraction
Fantastic to hear today that the @NeilFinn concert at @hotagc on the 30th June is on the way to a sellout. The sound at SaturdayÍs @timminchin was superb. Neil + Orchestra will be awesome. ,,Live entertainment,Attraction
Goldcoast #Nye #firework #surfersparadise #Southport goodnite n welcome 2015,Positive,Live entertainment,Attraction
he went to gold coast same time we did so his family and mine met up for firework thing and I didn't expect to SEE WEED HAT,Neutral,Live entertainment,Attraction
"Firework finale from bedroom window __#fireworks #reflection #waterreflection #goldcoastã https://instagram.com/p/67JUzEIHU6/ ",Neutral,Live entertainment,Attraction
The moment a juvenile humpback whale came within 5m of a Gold Coast whale watching tour #scuba #scubadiving,Negative,Adventure tours and activities,Attraction
The boys testing out a brand new CF GT Street sliding capabilities here at the Evolve Gold Coast facility!... http://fb.me/EbfKxmkG ,Positive,Facility,Service and Ancillary
Australia _ State Government to announce multi-million funding to create Gold Coast dredging facility http://dlvr.it/NtCDJM ,Neutral,Facility,Service and Ancillary
"I absolutely love night scenes, I'll be doing alot over the coming months. Mountains",,Scenic,Attraction
Getwhatever.com/eauction/  Top. Gold Coast Marathon 2015 Results Men s and Women s Top Finishers. Police Man Shoots off Firework F,Positive,Live entertainment,Attraction
Urban Paradise BrisbaneæGallery,,Culture & Tradition,Attraction
est run tonight for the live stream recording of The Planets.....this saturday night! Either join us live at HOTA for their first orchestral concert in the new space or follow us live through the Global Orchestra Foundation website ,,Live entertainment,Attraction
Was nice knowing ya @ Surf n Sun Beachside Backpackers ,,Second class accomadation,Accommodation
Three years ago today I saw my first Ed Sheeran concert at The River Stage with a capacity of 10 000. It was pouring with rain and it was still amazing! Tonight IÍll see my 5th show with a capacity of over 50 000 and itÍs raining again #EdSheeran #italwaysrainsfored,,Live entertainment,Attraction
sunsets in the mountains though,,Scenic,Attraction
"Done setup to dinner Rapid Central Medical Facility at Gold Coast resort malacca.Whatsapp:0178808251Admin:Herman ",Neutral,Facility,Service and Ancillary
"""...baby, you're a firework. Come on let your colors burst..."" #jump #kirra #beach #qld #gc #goldcoastã http://instagram.com/p/uCqopINkS1/ ",Neutral,Live entertainment,Attraction
10 Top Things to Do in Byron Bay: Byron Bay is not a sprawling tourist centre like Queenslandês Gold Coast. In f... http://bit.ly/yJVE6E ,Neutral,Information & Guiding,Service and Ancillary
Plenty of TRAMS still running on the Gold Coast .. despite ridetheg claiming services€,Neutral,Means of transport,Transportation
Gold Coast Tourist Information Centre: Gold Coast Tourism Rides Social Media Wave (Market Wire) http://feedzil.la/hnH9m5,Positive,Information & Guiding,Service and Ancillary
"Cast chaos at 'Blanc de Blancs', Gold Coast tonight. Some incredible, saucy acts. Tipsy circus at its best. #blancshow #circus #spiegeltent",Positive,Live entertainment,Attraction
8 Seater Car Hire Gold Coast _ +61 414 256 619 _ Cheap Rental Car http://tradeflights.com/8-seater-car-hire-gold-coast-61-414-256-619-cheap-rental-car/ Ü,Neutral,Transportation Services,Transportation
Tour guide life @kiki_ontour_  #sunsetsafaris #fraserisland #flying #island #ocean #sand #goldcoast #Brisbane... http://fb.me/5owCYdZ4N ,Neutral,Tourism agent & operator,Tourism broker
Update on hubby. He's at Melbourne airport waiting to fly home later tonight. We will go to Gold Coast airport to pick him up and bring him home finally,,Transportation Infrastructure,Transportation
"Just like any other Surfer Paradise brosure, Hundred of hotel with a beautiful beach. #goldcoast",,First class accommodation,Accommodation
Gold Coast: A tick off the bucket list _ Skydiving! https://spunktitud3.wordpress.com/2017/10/01/gold-coast-a-tick-off-the-bucket-list-skydiving/ ã,Positive,Adventure tours and activities,Attraction
"Foggy mountains on the mornings recovery ride #whereiride #qld @ Currumbin Valley, Queensland",,Scenic,Attraction
Sky News opens new studio facility on the Gold Coast | @SkyNewsAust http://zpr.io/P4BKu ,Positive,Facility,Service and Ancillary
Rock climbing> southern cross station with a Indian stranger> avalon airport> gold coast. Its long long day.Hope gol... http://ow.ly/1adlmX,Negative,Adventure tours and activities,Attraction
Go green this weekend and explore the Gold Coast Hinterland rain forest! __ #thisisqueensland #wearegoldcoast #GC2018 http://bit.ly/2w7GjON ,Negative,Scenic,Attraction
Explore the Gold Coastês Tamborine Mountain with a walk along the Rainforest Skywalk! http://pelicansands.com.au/tamborine-rainforest-skywalk-gold-coast/ ã #tamborine #goldcoast ,Neutral,Scenic,Attraction
Seafood buffet..... hmmmm oysters.... @ Watermark Hotel & Spa Gold€ ,,First class accommodation,Accommodation
Circus Stars Jan school hol wkshops & Term 1 2018 #circusstars #autismawareness #autismtherapy #autismkids #goldcoast #creativegold  #circus ,Neutral,Live entertainment,Attraction
Talent with out hard work is like a Porsche with out petrol #entrepreneur #startup #galleries #GalleryOne #GoldCoast #painting,Negative,Exhibition entertainment,Attraction
Had a great day of operating at the @Griffith_Uni Gold Coast campus! Free stuff & Rock Climbing is what makes O-Week so fun #basezero #oweek,Positive,Adventure tours and activities,Attraction
#goldcoast #deals Beenleigh: Indoor Rock #climbing - $10 http://www.dealsunited.net/au/goldcoast/406915/ ã,Neutral,Adventure tours and activities,Attraction
Sunday edv_vers.o @ Mantra on View Hotel,,First class accommodation,Accommodation
"AGCSA Conference and Show in Gold Coast , Australia. Great educational pgm and exhibits on show floor http://twitpic.com/1zgejp",Positive,Exhibition entertainment,Attraction
IÍm so amazed at @edsheeran tonight. The Brisbane concert was phenomenal and IÍm ridiculously overwhelmed #DivideTourAUNZ,,Live entertainment,Attraction
"Another week,Still nothing from Alliance Insurance.Little Slow don't you think.",,Transportation Services,Transportation
Stranded on the goldcoast because the fucking carhire company won't accept the same card I payed for the car hire with for security deposit.,Negative,Transportation Services,Transportation
The clarity of Gold Coast waters is unreal! Grab your flippers + a friend and go snorkelling alongside marine... http://fb.me/37wENRDWi ,Neutral,Adventure tours and activities,Attraction
Celebrate the good life #cheers #beers #goodlife #weekend @ Twin Towns Clubs &amp; Resorts https://www.instagram.com/p/BfSWrdFll5l/_,,First class accommodation,Accommodation
Ever thought of snorkelling whilst on the Gold Coast... check out this photo and if you fancy it why not book in... http://fb.me/1JtAOck9y ,Neutral,Adventure tours and activities,Attraction
Best Car Hire Gold Coast Airport http://freeindexdirectory.com/en/listings/best-car-hire-gold-coast-airport/ Ü,Neutral,Transportation Services,Transportation
Travel: Benefits of Gold Coast Airport Car Hire http://wp.me/p28dzr-1Xl  #blog,Neutral,Transportation Services,Transportation
Daily Deals:  One-Hour Snorkeling Tour for One or Two at Gold Coast Scuba (Up to 51% Off) Find this Deal&More: http://bit.ly/THhRVG ,Neutral,Adventure tours and activities,Attraction
Happy New Year eveyone! It's already new year in Gold Coast :) The firework is amazing and the people is fun and hot!love here :D,Positive,Live entertainment,Attraction
Then and now Chauffeur (Snitzel-Mirror Mirror) $1.6 million sale topper on Gold Coast in January Winning Rosehill debut today (S Hart pic) ,Positive,Transportation Services,Transportation
"#Cassowary #bird looking up at ME #Fleays Conservation Park #West #Burleigh Gold Coast #Australia #YourWORLDaccordingtoME #Edridge #photo",Neutral,Exhibition entertainment,Attraction
Gold Coast is a sixth-largest city in Australia is known for itÍs surfing beaches and tv & movieƒ,,Scenic,Attraction
Hire a Luxury Car to Make Your Gold Coast Hen&#39;s Party Memorable #limo #rentals,Positive,Transportation Services,Transportation
"One of my besties, Ben, and me at MadonnaÍs concert in Brisbane two years ago x awesome night x ",,Live entertainment,Attraction
IÍm reminding you the history of the idea of ñlove the sinner hate the sinî didnÍt start with Jesus,,Culture & Tradition,Attraction
Top News Stories Gold Coast Tourism Rides Social Media Wave: The Gold Coast Tourist Information Centre (GCTIC) H... http://bit.ly/fDbzUi,Positive,Information & Guiding,Service and Ancillary
"__50% Off Sea World Hot Deal__Grab the kids & escape to Australia's ONLY theme park resort on the Gold Coast &... ",Positive,Exhibition entertainment,Attraction
"The Cove is Tweed City Shopping Centre's new dining and entertainment precinct, offering breakfast, lunch and... ",Positive,Shopping,Attraction
Firework finale to City of Gold Coast's Chinatown celebrations. #GCchinatown http://fb.me/1v2Cfgny3 ,Neutral,Live entertainment,Attraction
"#RockClimbing - Indoor Rock climbing in gold coast, queensland. Would the locals ... http://bit.ly/GV6Cqi ",Neutral,Adventure tours and activities,Attraction
Our gym bossês favourite thing to relax while up here on the Gold Coast @ Sea World - Goldã https://www.instagram.com/p/Bb8k_l1h328/ ,Neutral,Facility,Service and Ancillary
Cheesy farmhouse muffins #yum @ Canvas Espresso Nobby Beach ,,Second class accomadation,Accommodation
Gold Coast Suns will be needing snorkelling for the next few days http://instagr.am/p/VAmV4iqUVb/ ,Negative,Adventure tours and activities,Attraction
Perfect snorkelling conditions today on the Gold Coast. Have you enjoyed your day snorkelling on Stradbroke... http://fb.me/1OPY2MBMo ,Positive,Adventure tours and activities,Attraction
"Another fantastic concert tonight, lost track of how many times Iêve seen you. When are you coming back to the Gold Coast? Hope itês soon!",Positive,Live entertainment,Attraction
I am so fucking done with living in hostels. 3am and im still awake from this canadian cunt snoring like a fucking train. FUCK OFF,,Second class accomadation,Accommodation
Gracie just beat @Hayden_quinn to the top on the rock climbing wall. Better luck next time mate! #LIFT #GoldCoast ,Positive,Adventure tours and activities,Attraction
"Today: pedestrian dies after crash near Gold Coast casino, three injured in nightclub stabbing, 25 years since #RodneyKing #Rjnow",Negative,Live entertainment,Attraction
"#Firework at #Southport Broadwater Parklands by  City of Gold Coast#Southport#GoldCoastProperty ",Neutral,Live entertainment,Attraction
#Tech #GoldCoast Virtual reality helps David Attenborough works come to life at National Museum of Australia ,Neutral,Exhibition entertainment,Attraction
Iêm up on the Gold Coast for a little break and itês already at that price. And now I have to fill up the hire car __,Neutral,Transportation Services,Transportation
Residents at a Gold Coast aged care facility are keeping their minds active with a special art program. @JessMumme #7News,Positive,Facility,Service and Ancillary
1st time ever Concert happened in #GoldCoast Thanks 4dis Luv&Honor Now Sat.14th Oct in #Brisbane 0431871002 &Sun 15th Oct #Sydney 0424220017,Positive,Live entertainment,Attraction
"Firework finale __#fireworks #night #finale #surfersparadise #goldcoast #pretty http://instagram.com/p/w30hRFIHQY/ ",Positive,Live entertainment,Attraction
Not much of a discount but what a #hotel #palazzioversace on the #goldcoast #queensland,,First class accommodation,Accommodation
Can you explain to me why 12.24am 750 surfside bus didn't wait for passengers to come off the train from Brisbane that was 2 minutes late in early hours of morning? Their were few passengers on this train as we were coming home from Ed Sheeran Concert?,,Live entertainment,Attraction
my parents are going to the UB40 concert in Gold Coast tonight. legit the coolest thing i can say they've done besides birthing me looool,Neutral,Live entertainment,Attraction
"Sussan Ley billed taxpayers for a flight, chauffeur and hotel stay on SAME DAY she bought Gold Coast investment unit http://www.dailymail.co.uk/news/article-4090018/Health-Minister-Sussan-Ley-billed-taxpayers-flight-chauffeur-hotel-stay-DAY-bought-Gold-Coast-investment-unit.html ",Neutral,Transportation Services,Transportation
Beautiful sunset with a Cheshire cat smile moon. :) #contiki #antiki @ Vibe Hotel Gold Coast,,First class accommodation,Accommodation
"The world is your gym ______#motivationmonday ____@barot_bros_fit @ Gold Coast, Queensland https://www.instagram.com/p/BcAxbPIBsCh/ ",Neutral,Facility,Service and Ancillary
At the Australian Pharmacy Professionals trade show representing the @swisseau ambassadors.,,Exhibition entertainment,Attraction
Good to see blue sky on our holiday!! #wetnwild #notwet #chauffeur #tuckshop #goldcoast‹ https://www.instagram.com/p/BZz_-bvndqZ/_,Positive,Transportation Services,Transportation
"Council to vote on a mass development at Southport's old hospital site. It is to include a retirement village, units, a theatre, shops, child and health care. Cr Gates declares a possible conflict of interest because of donations from parties associated, she stays to vote.",Neutral,Live entertainment,Attraction
"Just had a wicked day of cherry picking, rock climbing and eating, and cannot wait for Wednesday on the Gold Coast!",Neutral,Adventure tours and activities,Attraction
Snorkelling with Turtles on the Gold Coast http://ow.ly/vnLOo  #turtles #goldcoast #gapyear,Neutral,Adventure tours and activities,Attraction
The trial of the wife of the man who shot and killed 49 people inside a Florida nightclub on behalf of ISIS has made several developments.,,Live entertainment,Attraction
Day 12 - Gold Coast - Razzing round on these rad bikes #steeze @ Palazzo Versace Hotel,,First class accommodation,Accommodation
"Hollywood Stunts Show, Warner Bros. Movie World, Gold Coast transfer by Black Bow Chauffeur: http://youtu.be/2pI-UU7vAbg?a_ via @YouTube",Neutral,Transportation Services,Transportation
"Your chance to buy into one of Australia's 100 fastest growing companies! Well established,very busy retail gift store in #PacificFair, Gold Coast's leading shopping mall. Sales exceeded $900k last year. Get in now before the Commonwealth Games! https://www.aubizbuysell.com.au/66469/gift-newsagency-franchise-business-for-sale-gold-coast ã #forsale",Neutral,Shopping,Attraction
Snorkelling on the Gold Coast :) http://instagram.com/p/ih1x_ErmNC/ ,Positive,Adventure tours and activities,Attraction
"Explore Australia's Gold Coast, including #Beautiful #Beaches at Surfer's Paradise. An underwater world on a #Queensland Scuba #Diving tour. ",Positive,Adventure tours and activities,Attraction
I am traying to get a ticket for the upcoming concert at HOTA,,Live entertainment,Attraction
Spruch of the Day @ Palazzo Versace Hotel ,,First class accommodation,Accommodation
Gold Coast Transit closes several bus stops in Ventura to speed up service ,,Transportation Infrastructure,Transportation
ust ROCKED @hotagc for the opening of their outdoor theatre! What a show! Love the new songs :D,,Live entertainment,Attraction
"buses & trains are the best ways of travel, into the inner city 'kindly smile'",Positive,Means of transport,Transportation
why is smoke coming out of the vents?? @ Gold Coast Airport ,,Transportation Infrastructure,Transportation
Australias East Coast is pretty cool @ Sleeping Inn Surfers Backpackers,,Second class accomadation,Accommodation
Amazing firework in surfers paradise Beach in Gold coast. Happy new Year semuanyaa..,Positive,Live entertainment,Attraction
"Midnight New Year's Firework's 2017 Surfers Paradise, Gold Coast  Australia https://youtu.be/xvl0J4bKadU  via @YouTube",Positive,Live entertainment,Attraction
"In another incredible act of fashion synchronicity, Linda Stoddard, VP of Exhibits at Gold Coast Watercolor Society looks wonderfully coordã ",Positive,Exhibition entertainment,Attraction
price but customers shouldnêt have to jump through hoops to pay a fair price just because theyêre shopping on the Gold Coast. This unfair pricing surcharge hurts those who most need a good value shopping experience in a small town with limited options. Please revisit this issueã,Negative,Shopping,Attraction
Storms held off and we got a free firework show from the balcony #fireworks #goldcoast #australiaã http://instagram.com/p/h5iVdhhWzF/ ,Positive,Live entertainment,Attraction
Good game well played @ Backpackers In Paradise ,,Second class accomadation,Accommodation
Anyone here knows the name of the hostel where KT stayed in Gold Coast Australia for Tame Tabi before?,Negative,Second class accomadation,Accommodation
Man bludgeoned with baseball bat in savage shopping centre attack http://zpr.io/nfeD6  #AusNews,Neutral,Shopping,Attraction
And for you being in the Gold Coast defo make a day trip to north stradbroke island and Moreton island the snorkelling is unreal,Neutral,Adventure tours and activities,Attraction
"Coming up:Rock climbing THIS SaturdayRopes challenge couple of weeks3 day hike on Gold Coast next monthGo... http://fb.me/7dmrElVM2 ",Neutral,Adventure tours and activities,Attraction
"DLAIN has a show on 2017-11-03 at 20:00 @ my in Gold Coast, QLD https://www.reverbnation.com/q/733a84  #concert https://www.reverbnation.com/dlain5 ",Neutral,Live entertainment,Attraction
Failed finalists for a $2m art installation greeting visitors along the M1 to the Gold Coast have been revealed http://www.goldcoastbulletin.com.au/news/council/finalists-for-the-2-million-gateway-project-signs-revealed-and-it-includes-the-pink-poodle/news-story/df10eebf80fa27a174308381ddb1b3da ã,Negative,Culture & Tradition,Attraction
"Had a beauty day in Surfers with my mom and family. Great street theatre, lunch and entertainment. #GoldCoast",Positive,Live entertainment,Attraction
Just posted a photo @ Budds in Surfers Backpackers Resort ,,First class accommodation,Accommodation
Yeah I love the Gold Coast :D That sounds fun! Rock climbing is cool :),Positive,Adventure tours and activities,Attraction
damn that's good bandwidth for an airport ,,Transportation Infrastructure,Transportation
Australia beaches are stunning.. ,,Scenic,Attraction
Firework Display at Gold Coast Show!! http://instagram.com/p/drJLw_SBrd/ ,Neutral,Live entertainment,Attraction
Here's some help for Saturday nights 'Concert for the Planet' if you want to watch the live stream or 'Play Along' Watching the Live Stream The live stream of the performance will be on the Global Orchestra... ,,Live entertainment,Attraction
Seafire firework show on surfers paradise beach last night #SEAFIRE2017 #goldcoast @GC2018 @myGoldCoast #fireworks @GCBulletin,Neutral,Live entertainment,Attraction
Former Finks bikie had knuckledusters at Gold Coast nightclub http://ift.tt/2zaUbdr ,Neutral,Live entertainment,Attraction
The Aussie Santa! Christmas in Surfer's. @ Backpackers In Paradise,,Second class accomadation,Accommodation
#Tech #GoldCoast Australian artist Mike Parr exhibits 50 years of provocative art ,Neutral,Exhibition entertainment,Attraction
"Alan says the #GoldCoast is an under recognised city economically, socially and culturally. Only known as a tourist centre and crime hub.",Positive,Information & Guiding,Service and Ancillary
When you're at the optometrist and they ask you if you have private health insurance before they give you the quote. Makes one wonder.....,,Transportation Services,Transportation
#surfers #Paradise #buddah @ Sleeping Inn Surfers Backpackers ,,Second class accomadation,Accommodation
Great mornings ride on the Gold Coast. Beechmont climb thanks to @tempo_systems tour guideã https://www.instagram.com/p/BWbSEdABX37/ ,Positive,Tourism agent & operator,Tourism broker
"Humpback Whale, mother & calf Animals & nature galleries http://buff.ly/1qkMu4y  #Goldcoast #Queensland",Neutral,Exhibition entertainment,Attraction
Had a really fun time at the Gold Coast Brick Event. These exhibits were amazing! #legoã https://www.instagram.com/p/BZPn_FEA1qy/_,Positive,Exhibition entertainment,Attraction
"Snorkelling with these guys at Sea World was incredible! __#thisisqueensland #seeaustralia @Queensland #goldcoast ",Positive,Adventure tours and activities,Attraction
Gold Coast Australia.   Surf museum. http://instagram.com/p/msdGIEseVi/ ,Neutral,Exhibition entertainment,Attraction
"Catholic church not doing themselves any favours here. While the headline is a little mis worded, the archbishops video is not helping them ",,Culture & Tradition,Attraction
Gold Coast museum in Australia imports ‰worldês oldest surfboardê from Peru http://bit.ly/1SxIj5L ,Neutral,Exhibition entertainment,Attraction
Forest gods filling my secret spot with rain for some rad #straps and #circus #goldcoast #australia #travel #CirqueDuSoleil #toruk,Negative,Live entertainment,Attraction
Both excellent and engaging presenters to a full lecture theatre!,,Live entertainment,Attraction
"myGC: Man stabbed, left for dead at Logan shopping centre ",Negative,Shopping,Attraction
Happy New Year 2015 !! #Goldcoast #firework #NYE #surfersparadise #beach #colourful #beautiful #best http://instagram.com/p/xRlRSvt7R1/ ,Positive,Live entertainment,Attraction
"Gilltrap's museum gold coast qld #australia #vintage #collector souvenir spoon (3, LINK:http://www.zeppy.io/product/us/2/321752015609/ ã",Neutral,Exhibition entertainment,Attraction
Found scoopy out here in the mountains #,,Scenic,Attraction
"FREE ADMISSION 9/23:- PAMM- HistoryMiami Museum- Gold Coast Railroad Museum- Coral Gables Museum- Lowe Art Museum",Positive,Culture & Tradition,Attraction
"some highlights from @lauvsongs concert tonight were: the story never ends, paris in the rain and the beautiful drummer @robernstdrums",,Live entertainment,Attraction
"New post: Gold coast, Moreton island tour, snorkelling in the shipwrecks and sand boarding!!! That's the vie http://instagr.am/p/IL0lmZSflJ/ ",Positive,Adventure tours and activities,Attraction
Jordi has sent us this amazing pic from National Park (Gold Coast - #Australia)! __ Isn't it wonderful? __#wanderlust #carpediem #nomadizers,Positive,Exhibition entertainment,Attraction
"There are trams here! @ Surfers Paradise, Queensland https://www.instagram.com/p/BPNLZmLBytO/_",Positive,Means of transport,Transportation
Rolls Royce 1948 silver dawn 4 passengers + chauffeur #ourgoldcoast #goldcoast #wedding‹ https://www.instagram.com/p/BYAwd9MjAMp/_,Neutral,Transportation Services,Transportation
